"Company.x","Address","Cost_Normal","Company.y","Cost_Premium","lon","lat","geoAddress"
"Shell","1 Rutherford Ave Charlestown MA 02129",3.79,"Shell",4.59,-71.0631712,42.3718516,"1 rutherford ave, charlestown, ma 02129, usa"
"J And T Mobil","273 E Berkeley St Boston MA 02118",4.81,"J And T Mobil",5.31,-71.0631248,42.3427806,"273 e berkeley st, boston, ma 02118, usa"
"Gulf","79 W Broadway Boston MA 02127",3.79,"Gulf",4.99,-71.0553881,42.3414796,"79 w broadway, boston, ma 02127, usa"
"Monsignor Shell","239 Monsignor Obrien Hwy Cambridge MA 02141",3.77,"Monsignor Shell",4.57,-71.0810665,42.3735377,"239 monsignor o'brien highway, cambridge, ma 02141, usa"
"Shell","584 Columbus Ave Boston MA 02118",4.99,"Shell",5.79,-71.0818519,42.3402086,"584 columbus ave, boston, ma 02118, usa"
"Gulf","785 Tremont St Boston MA 02118",4.09,"Gulf",4.77,-71.0811149,42.3392613,"785 tremont st, boston, ma 02118, usa"
"East Bostonshell","52 Meridian St Boston MA 02128",4.29,"East Bostonshell",5.49,-71.039307,42.371557,"52 meridian st, boston, ma 02128, usa"
"Speedway #2509","151 Old Colony Ave Boston MA 02127",3.62,"Speedway #2509",4.55,-71.055325,42.3343933,"151 old colony ave, boston, ma 02127, usa"
"A Plus Mini Market","266 Massachusetts Ave Cambridge MA 02139",3.99,"A Plus Mini Market",5.19,-71.0981294,42.3616729,"266 massachusetts ave, cambridge, ma 02139, usa"
"Fenway Shell","1241 Boylston St Boston MA 02215",3.87,"Fenway Shell",4.67,-71.0951949,42.3456175,"1241 boylston st, boston, ma 02215, usa"
"Cambridge Shell","1001 Cambridge St Cambridge MA 02141",3.69,NA,NA,-71.0935567,42.3730856,"1001 cambridge st, cambridge, ma 02141, usa"
"Sunoco","1250 Boylston St Boston MA 02215",3.79,NA,NA,-71.0953652,42.3450167,"1250 boylston st, boston, ma 02215, usa"
"Alltown Markets","85 Southampton St Boston MA 02118",3.69,"Alltown Markets",4.59,-71.0704138,42.3319203,"85 southampton st, boston, ma 02118, usa"
"Shell","123 Cambridge St Charlestown MA 02129",3.65,"Shell",4.45,-71.0800239,42.3825954,"123 cambridge st, boston, ma 02129, usa"
"Sunoco","895 Massachusetts Ave Boston MA 02118",3.89,"Sunoco",4.79,-71.0710406,42.3314145,"895 massachusetts ave, roxbury, ma 02118, usa"
"Shell","287 Prospect St Cambridge MA 02139",3.61,"Shell",4.5,-71.0990884,42.3725307,"287 prospect st, cambridge, ma 02139, usa"
"Broadway Gas","320 Broadway Cambridge MA 02139",4.09,NA,NA,-71.101379,42.3692791,"320 broadway, cambridge, ma 02139, usa"
"Shell Service Station","45 Transportation Way Boston MA 02128",3.93,"Shell Service Station",4.79,-71.0276806,42.3666634,"45 transportation way, boston, ma 02128, usa"
"Todiscos Mobil","470 Meridian St Boston MA 02128",3.99,"Todiscos Mobil",5.19,-71.0395623,42.3828235,"470 meridian st, boston, ma 02128, usa"
"Stop & Shop #0429","1100 Massachusetts Ave Dorchester MA 02125",3.59,"Stop & Shop #0429",4.29,-71.0645176,42.325417,"1100 massachusetts ave, boston, ma 02125, usa"
"Bp","331 Bennington St Boston MA 02128",3.79,"Bp",5.09,-71.027465,42.379025,"331 bennington st, boston, ma 02128, usa"
"Fazio Mobil","396 Chelsea St Boston MA 02128",3.69,"Fazio Mobil",4.15,-71.0278386,42.3796117,"396 chelsea st, boston, ma 02128, usa"
